csv_post_title,csv_post_categories,city,neighborhood,type,csv_post_tags,start_time,end_time
"$1 off drafts, $2 domestics",Jack Brown's,harrisonburg,,drink,"Mon, Tue, Wed, Thu, Fri",16,19
Any $4 beer is $3,Jack Brown's,harrisonburg,,drink,Mon,16,19
5 for $6 til 7. Choose an appetizer and either a beer or wine (5 choices) for $6,Local Chop & Grill House,harrisonburg,,food,"Tue, Wed, Thu",16,19
"$2 off drafts, $2 off rails",Local Chop & Grill House,harrisonburg,,drink,"Tue, Wed, Thu, Fri",16,19
$2 off drafts and glasses of wine,Michael's Bistro and Tap House,charlottesville,corner,drink,"Mon, Tue, Wed, Thu, Fri",15,18
"$1 off beer, $2.75 rails, $4 glasses of Prince Michel wine",Miller's Restaurant,charlottesville,downtown,drink,"Mon, Tue, Wed, Thu",15,19
"$2 off drafts, $2 PBR and Bud Light drafts",No. 3,charlottesville,corner,drink,"Mon, Tue, Wed, Thu, Fri",16,19
"1/2 off drafts, $3 rails, $4 select glass of wine",Rapture,charlottesville,downtown,drink,"Mon, Tue, Wed, Thu",15,19
$2 BBQ,Ruby's,harrisonburg,,food,Tue,21,24
$2 Rolling Rock,Ruby's,harrisonburg,,drink,"Tue, Wed",21,24
$3 Burgers (beef or black bean!),Ruby's,harrisonburg,,food,Wed,21,24
$3 Wings,Ruby's,harrisonburg,,food,Thu,21,24
$3 Session (black / red),Ruby's,harrisonburg,,drink,Thu,21,24
"$1 off drafts, $2.50 rails",St. Maarten Café,charlottesville,corner,drink,"Mon, Tue, Wed, Thu, Fri",15,19
"$6 premium rails, $3 Kirin and Star Hill beers, $6 signiture cocktails, $5 - $7 Select sakes (*5:30pm to 6:30pm)",Ten,charlottesville,downtown,drink,"Mon, Tue, Wed, Thu",17,18
"$2 off local drafts, $5 pitchers of PBR, Highlife, and Bud Light",The Biltmore Grill,charlottesville,corner,drink,Tue,17,20
"$1 off drafts, rails, and wine ",The Livery Stable,charlottesville,downtown,drink,"Mon, Tue, Wed, Thu, Fri",17,19
"$2 off Tito's and Makers, $1 off drafts",The Virginian Restaurant,charlottesville,corner,drink,"Mon, Tue, Wed, Thu, Fri",16,19
"$1 off drafts and wine, $3 rails, $5 specialty cocktails",Union Station,harrisonburg,,drink,Sun,11,21
Bar Bites ($2 to $5 food),Union Station,harrisonburg,,food,Sun,11,21
$2 Tap of the week beer,Union Station,harrisonburg,,drink,Thu,16,21
"$1 off drafts and wine, $3 rails, $5 specialty cocktails",Union Station,harrisonburg,,drink,"Mon, Tue, Wed, Thu, Fri, Sat",16,19
Bar Bites ($2 to $5 food),Union Station,harrisonburg,,food,"Mon, Tue, Wed, Thu, Fri, Sat",16,19
1/2 off appetizers,Union Station,harrisonburg,,food,Mon,16,19
$5 Martinis,Union Station,harrisonburg,,drink,Tue,16,19
1/2 off bottles,Union Station,harrisonburg,,drink,Wed,16,19
$2 off growler refills,Union Station,harrisonburg,,drink,Thu,16,19
Bar Bites ($2 to $5 food),Union Station,harrisonburg,,food,"Mon, Tue, Wed, Thu",21,23
Bar Bites ($2 to $5 food),Union Station,harrisonburg,,food,"Fri, Sat",21,24
"$2 off cocktails, $1 off beers",Zocalo,charlottesville,downtown,drink,"Tue, Wed, Thu, Fri",17,19
